danceability,energy,speechiness,acousticness,instrumentalness,valence,loudness_scaled,tempo_scaled,liveness,duration_ms_log_scaled,mode,song_age_scaled,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,track_popularity
0.636,0.746,0.0393,0.0648,0.29,0.432,0.768645095407284,0.49818415978613945,0.173,-1.0329456939634516,1.0,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23
0.572,0.835,0.0317,0.171,0.000377,0.795,0.430300189254769,0.41635523801089386,0.0702,0.676219054798602,1.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53
0.591,0.804,0.0454,0.327,5.98e-06,0.658,0.28017180032924877,-0.2344815790628049,0.0818,1.623052536270624,1.0,0.11428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55
0.443,0.104,0.101,0.913,0.0,0.394,-1.074180878653477,-1.4636018755262683,0.191,-0.1363415427810874,1.0,0.24285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64
0.685,0.472,0.0298,0.785,0.284,0.475,-0.05233477958727387,-1.3226059703806872,0.224,0.18523289521994693,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,62
0.67,0.365,0.0566,0.525,0.0,0.45,-0.11725140702080883,0.042731900029803795,0.0575,-0.838117089359243,1.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61
0.663,0.264,0.0914,0.706,0.0,0.657,-0.7306926851025873,0.15287946111412948,0.1,1.8474898335583292,1.0,0.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60
0.525,0.222,0.0373,0.836,0.0799,0.645,-0.2433314521647411,1.343316355742237,0.051,0.030129156036933842,0.0,0.4857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,55
0.336,0.0619,0.0363,0.985,0.891,0.197,-1.5540356921450469,-2.0176423510410144,0.11,-0.05111381439684454,0.0,0.45714285714285713,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54
0.742,0.671,0.0407,0.794,0.00441,0.591,0.16298825230682892,0.3242318232858216,0.122,2.4951149261859253,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53
0.519,0.0422,0.0537,0.966,0.929,0.397,-0.20343622288545948,0.432341566653117,0.124,0.8163877526475557,1.0,0.2571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53
0.659,0.113,0.0569,0.976,0.88,0.738,-1.0344246571417186,-0.8104812972179664,0.179,-0.18287723500305392,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53
0.505,0.159,0.0336,0.946,0.0127,0.196,-0.2669627726437582,-2.0640202714975726,0.212,1.2881513160758953,0.0,0.24285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52
0.517,0.0917,0.0336,0.876,0.629,0.0836,-1.2622583881129479,-0.8103056232768432,0.108,0.9834925809959887,1.0,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50
0.412,0.195,0.0331,0.9,0.709,0.0778,-0.13532241679888082,0.5546808992514013,0.106,1.9984097817262296,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49
0.417,0.42,0.06,0.186,0.00111,0.517,-0.5187058396290518,1.0193384735225988,0.185,1.2110849234720733,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49
0.517,0.273,0.0627,0.866,0.774,0.321,-1.107125719556577,-1.9221459966463743,0.979,1.8478343823191687,0.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,49
0.477,0.237,0.0321,0.947,0.901,0.178,-1.0843284456827016,0.28428356907437724,0.0974,1.1319471372676755,0.0,0.11428571428571427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49
0.234,0.126,0.0446,0.989,0.896,0.216,-2.2397610093391127,0.557491682309374,0.102,-1.0053299580500477,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60
0.169,0.0161,0.0442,0.986,0.86,0.0573,-3.0191775618441055,0.3517774972539594,0.0805,-0.32151148491634307,0.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,65
0.32,0.00501,0.0455,0.993,0.919,0.0383,-3.3433436757092103,-1.7280614264933236,0.0618,1.285667364592288,1.0,0.0857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65
0.168,0.256,0.0341,0.932,0.175,0.134,-0.8666422817406974,-0.9858390252472705,0.384,0.32338935424742526,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
